Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Suyambazhahan, S., Rao, C.V.M., Girma Dunbushe, C.","6505633729;58879625300;58879943900;","Characterization of 0–3 piezoelectric polymer composites using FEA for biomedical transducers applications",2024,"Ferroelectrics","618","3",,"718","731",,,"10.1080/00150193.2023.2296297","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184725070&doi=10.1080%2f00150193.2023.2296297&partnerID=40&md5=5b1e2ae9262a7376cdfe986f89d22707",Article,"Final","",Scopus,2-s2.0-85184725070
"Patil, A.P., Hiremath, M., Pawar, V.","58622386400;58867658500;57212063619;","A Unified Approach to Predict and Understand Acute Myeloid Leukemia Diagnosis",2024,"Lecture Notes in Electrical Engineering","1098",,,"233","242",,,"10.1007/978-981-99-7383-5_18","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184280202&doi=10.1007%2f978-981-99-7383-5_18&partnerID=40&md5=dbd26b286e33f0012295dd712498e7f3",Conference Paper,"Final","",Scopus,2-s2.0-85184280202
"Alamuru, S., Jain, S.","57214136418;57215921936;","An Effective Video Event Classification by Optimizing the Hyper-Parameters Using Improved Pelican Optimization and Bi-LSTM Classifier",2024,"International Journal of Intelligent Engineering and Systems","17","1",,"20","30",,,"10.22266/ijies2024.0229.03","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184246637&doi=10.22266%2fijies2024.0229.03&partnerID=40&md5=386423840c665b033e42b78f37dcacda",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85184246637
"Mary, A.R., Kavitha, P.","58866116400;58443532500;","Diabetic retinopathy disease detection using shapley additive ensembled densenet-121 resnet-50 model",2024,"Multimedia Tools and Applications",,,,"","",,,"10.1007/s11042-024-18309-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184243255&doi=10.1007%2fs11042-024-18309-6&partnerID=40&md5=463d249f7f75e76cafb2e90a9386b04f",Article,"Article in Press","",Scopus,2-s2.0-85184243255
"Mukhopadhyaya, K., Srividya, P.","57224620564;55842449800;","TFT Structure Simulation with Various High K Dielectric Materials for Non-volatile Memory Device",2024,"Transactions on Electrical and Electronic Materials",,,,"","",,,"10.1007/s42341-023-00502-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184192368&doi=10.1007%2fs42341-023-00502-3&partnerID=40&md5=ef3e8778181ba07a1b487249f3564b38",Article,"Article in Press","",Scopus,2-s2.0-85184192368
"Venkatesh, M., Parthasarathy, P., Arun Kumar, U.","57205438584;57201256821;56595189300;","Surface Potential Analysis of Dual Material Gate Silicon-Based Ferroelectric TFET for Biosensing Application",2024,"ECS Journal of Solid State Science and Technology","13","1","017001","","",,,"10.1149/2162-8777/ad1ac8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182586747&doi=10.1149%2f2162-8777%2fad1ac8&partnerID=40&md5=a6ec89da933afdea5cd1a3006668ab7d",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85182586747
"Dhanabagiyam, S., Blessy Doe, M., Thamizhselvi, M., Irfan, M., Thalari, S.K., Libeesh, P.C.","58808678100;58813430300;58814129600;58823773400;58090651300;58628574300;","Factors influencing growth of micro entrepreneurship in the hospitality industry: An empirical study in India",2024,"Cogent Business and Management","11","1","2285260","","",,,"10.1080/23311975.2023.2285260","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182415836&doi=10.1080%2f23311975.2023.2285260&partnerID=40&md5=51313dc9698111b5347fb8acc8274fb6",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85182415836
"Kanchana, S., Rajan, D., Mahaveerakannan, R., Sagar, K.V.D., Subramanian, P., Rajakumar, B.","56585823600;58203012600;57219368645;55922124400;57209410501;55877297668;","Predictive Maintenance Model Using Hybrid Procedure of Improved Quantum Cat Swarm Optimisation for Asset Management in Industry 4.0",2024,"Lecture Notes in Networks and Systems","786",,,"499","515",,,"10.1007/978-981-99-6547-2_38","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181980399&doi=10.1007%2f978-981-99-6547-2_38&partnerID=40&md5=f0f5648cdb19721e7a5d18645aac7777",Conference Paper,"Final","",Scopus,2-s2.0-85181980399
"Prabhu, S.M.","57208533339;","Validating δ-Currency Using Model Checking",2024,"Lecture Notes in Networks and Systems","791",,,"357","369",,,"10.1007/978-981-99-6755-1_27","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181536429&doi=10.1007%2f978-981-99-6755-1_27&partnerID=40&md5=93cbd2a508b7a641bf82cd7cbc26284f",Conference Paper,"Final","",Scopus,2-s2.0-85181536429
"Dharani, D.L., Pattnaik, M., Naveen Kumar, G.N., Avula, V.A., Pattanaik, B., Maheshwari, S.","57223297433;57193700479;57219285631;58794863100;54420927600;57204056962;","Efficient Project Management in Construction Sites to Monitor and Track the Employees using Multi-Modal Deep Learning Model",2024,"International Journal of Intelligent Systems and Applications in Engineering","12","7s",,"309","319",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181525027&partnerID=40&md5=f2bbdb9143ad91ab13f3e6fcda4d7e10",Article,"Final","",Scopus,2-s2.0-85181525027
"Rao, B.V.S., Meenakshi, K., Kalaiarasi, K., Ramesh, B.P., Kavitha, J., Mukherjee, D.","57222347080;57220355692;24512328500;58794628500;58794865400;58793904300;","Image Caption Generation Using Recurrent Convolutional Neural Network",2024,"International Journal of Intelligent Systems and Applications in Engineering","12","7s",,"76","80",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181523588&partnerID=40&md5=be778b9d186409917ca6e55b07bb75e1",Article,"Final","",Scopus,2-s2.0-85181523588
"Kavitha, M.S., Sudhakar, A., Srinivas, K.N.H., Rani, P.J., Harsha, B.K., Riyaz Hussain, Sk.","57212850592;56825529200;57209476565;57211412471;55735072100;58795102000;","Improved Biometric Authentication Using Blockchain Based Biometric Authentication Model",2024,"International Journal of Intelligent Systems and Applications in Engineering","12","7s",,"256","262",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181521174&partnerID=40&md5=703ffab1dec193fdc52c2dfa9a89dcb9",Article,"Final","",Scopus,2-s2.0-85181521174
"Puranik, V.G., Gayathri, S., Naveen Kumar, G.N., Sugumar, D., Sekhar, S.C., Ramasamy, J.","57194655184;57225805287;57219285631;57281393000;58563796500;57831980000;","Advanced CNN Detection Method for Brain Tumor Analysis",2024,"International Journal of Intelligent Systems and Applications in Engineering","12","7s",,"250","255",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181516948&partnerID=40&md5=6a593c04ba0cbfc7ef78e9f963260604",Article,"Final","",Scopus,2-s2.0-85181516948
"Darius, P.S.H., Sowjanya, K., Manju, V.N., Saha, S., Mitra, P., Majumder, P., Suneetha, J., Prabhu, S.M.","35107140300;58045652500;56559971100;57202362175;58785643200;57189047046;58489947000;57208533339;","From Data to Insights: A Review of Cloud-Based Big Data Tools and Technologies",2024,"Big Data Computing: Advances in Technologies, Methodologies, and Applications",,,,"86","110",,,"10.1201/9781032634050-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180902670&doi=10.1201%2f9781032634050-5&partnerID=40&md5=8a3ea89ba35d77b79ead434621943889",Book Chapter,"Final","",Scopus,2-s2.0-85180902670
"Alagarasan, D., Hegde, S.S., Naik, R., Murahari, P., Shetty, H.D., Prasad Hb, S., Maiz, F., Shkir, M.","57211167393;24587129900;58121215900;56454343900;57194388660;58768934400;6506066915;55212225100;","Fabrication of high-performance RT-NH3 gas sensor based on Cu and La co-doped ZnO films through a facile drop-casting method",2024,"Optical Materials","147",,"114705","","",,,"10.1016/j.optmat.2023.114705","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180012584&doi=10.1016%2fj.optmat.2023.114705&partnerID=40&md5=c9d046406b412aee426393c0f6cffe73",Article,"Final","",Scopus,2-s2.0-85180012584
"Durgadevi, R., Suvitha, A., Steephen, A., Arumanayagam, T.","57219057136;57218331018;57226829140;41560983600;","Computational, experimental investigations on effect of phosphoric acid to enhance the linear and nonlinear optical properties of hexamine p-nitrophenol crystal",2024,"Optical and Quantum Electronics","56","1","120","","",,,"10.1007/s11082-023-05650-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179846047&doi=10.1007%2fs11082-023-05650-7&partnerID=40&md5=f8a5dce9a79afcc8c1eb211a0ca08824",Article,"Final","",Scopus,2-s2.0-85179846047
"Manchanda, A.","57225126910;","Computational Intelligence for Big Data Analysis",2024,"Computational Science and Its Applications",,,,"199","230",,,"10.1201/9781003347484-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179273087&doi=10.1201%2f9781003347484-9&partnerID=40&md5=0f781a09468536d550b169d7b1ced567",Book Chapter,"Final","",Scopus,2-s2.0-85179273087
"Vakula Rani, J., Jakka, A., Jagath, M.","58381525500;57211293460;58745959200;","A Smart Irrigation System for Plant Health Monitoring Using Unmanned Aerial Vehicles and IoT",2024,"Lecture Notes in Networks and Systems","789 LNNS",,,"493","505",,,"10.1007/978-981-99-6586-1_34","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178563923&doi=10.1007%2f978-981-99-6586-1_34&partnerID=40&md5=06b9c0a0df59e1866cc9b4da99cef223",Conference Paper,"Final","",Scopus,2-s2.0-85178563923
"Pai, N., Ilango, V., Nithya, B.","57211291819;6506294106;57219484629;","An Optimal Portfolio Construction for Asset Management with Back-Test Using PSO Algorithm and PyPortfolioOpt in Indian Stock Market",2024,"International Journal of Intelligent Systems and Applications in Engineering","12","2s",,"352","361",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177815443&partnerID=40&md5=12706bec4f721a99db035006c0f5d05f",Article,"Final","",Scopus,2-s2.0-85177815443
"Javali, A.","57193141491;","Compact Dual-Band Printed Folded Dipole for WLAN Applications",2024,"Smart Innovation, Systems and Technologies","364",,,"203","209",,,"10.1007/978-981-99-5180-2_17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177041833&doi=10.1007%2f978-981-99-5180-2_17&partnerID=40&md5=457ab7e942f0074077729b8cac2f7600",Conference Paper,"Final","",Scopus,2-s2.0-85177041833
"Gautam, A., Singh, R.S., Gautam, P., Hussain, S.M., Reddy, V.S.","13805580800;55613239836;55081277800;55897693800;58653732600;","X-ray photoelectron spectroscopy and tunable photoluminescence study of gold nanoparticles embedded in PVA films",2024,"Luminescence","39","1","e4607","","",,1,"10.1002/bio.4607","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174422018&doi=10.1002%2fbio.4607&partnerID=40&md5=4432c960ce405f2193949dfc4cc92749",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85174422018
"Sarkar, S., Muralishankar, R., Gurugopinath, S.","57193695016;16234202600;55005957900;","Vasicek and Van Es entropy-based spectrum sensing for cognitive radios",2024,"IET Networks","13","1",,"1","12",,,"10.1049/ntw2.12096","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165454068&doi=10.1049%2fntw2.12096&partnerID=40&md5=ea9fe1a84bbb674a806edb9982e75c4c",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85165454068
"Siddheshwar, P.G., Sushma, T.S.","7004177919;57205729473;","Reduction of a Tri-Modal Lorenz Model of Ferrofluid Convection to a Cubic–Quintic Ginzburg–Landau Equation Using the Center Manifold Theorem",2024,"Differential Equations and Dynamical Systems","32","1",,"151","169",,1,"10.1007/s12591-021-00565-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101800456&doi=10.1007%2fs12591-021-00565-9&partnerID=40&md5=670561217f104455af0b79a23d70b987",Article,"Final","",Scopus,2-s2.0-85101800456
"Santosh, K., Prakash, P.R., Abhang, L.B., Muda, I., Banerjee, D., Mary, S.S.C., Rengarajan, M.","57213408840;55971770300;54392406300;57219085312;58491994800;55966024800;58494592300;","ANALYTIC HIERARCHY PROCESS-BASED EVALUATION APPROACH FOR DIGITAL TECHNOLOGY SERVICE MANAGEMENT",2023,"Journal of Theoretical and Applied Information Technology","101","24",,"8407","8422",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182889781&partnerID=40&md5=6660f296a1adc2092ebf80391d7136ad",Article,"Final","",Scopus,2-s2.0-85182889781
"Jagadishwari, V., Lakshmi Narayan, N., Shobha, N.","57200285329;58779703900;57194194878;","Empirical Analysis of Machine Learning Models for Detecting Credit Card Fraud",2023,"AIP Conference Proceedings","2901","1","060013","","",,,"10.1063/5.0178958","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180605873&doi=10.1063%2f5.0178958&partnerID=40&md5=3aaa3ed09f7d6136a7c19e90793567b7",Conference Paper,"Final","",Scopus,2-s2.0-85180605873
"Jacob, P., Dwarakish, G.S., Wani, A.S., Jalihal, V.","57796508000;15727434000;58779218900;58684495300;","Use of Image Analysis to Study Top Surface Clogging of Pervious Concrete",2023,"AIP Conference Proceedings","2901","1","050004","","",,,"10.1063/5.0178951","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180581407&doi=10.1063%2f5.0178951&partnerID=40&md5=c08cc179c957e6066adaf85536842bdf",Conference Paper,"Final","",Scopus,2-s2.0-85180581407
"Jagadishwari, V., Shobha, N.","57200285329;57194194878;","Deep Learning Models for Covid 19 Diagnosis",2023,"AIP Conference Proceedings","2901","1","060005","","",,,"10.1063/5.0178957","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180575680&doi=10.1063%2f5.0178957&partnerID=40&md5=84cdfa07599d18f8ae7b11b9e6cec874",Conference Paper,"Final","",Scopus,2-s2.0-85180575680
"Veigas, S.S., Elumalai, R.","58779684300;58779684400;","Open Source VLSI Design Automation",2023,"AIP Conference Proceedings","2901","1","090004","","",,,"10.1063/5.0183307","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180571852&doi=10.1063%2f5.0183307&partnerID=40&md5=1445162a0dadd58ffe615f341aad1412",Conference Paper,"Final","",Scopus,2-s2.0-85180571852
"Orosoo, M., Raash, N., Santosh, K., Kaur, C., Bani-Younis, J.M.A., Rengarajan, M.","57282916600;58770295000;57213408840;57699611300;58770587600;58494592300;","EXPLORING THE INFLUENCE OF ARTIFICIAL INTELLIGENCE TECHNOLOGY IN MANAGING HUMAN RESOURCE MANAGEMENT",2023,"Journal of Theoretical and Applied Information Technology","101","23",,"7847","7855",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180092837&partnerID=40&md5=47b360fe011626787a0d03431309433a",Article,"Final","",Scopus,2-s2.0-85180092837
"Ganesh, D.R., Chithambarathanu, M.","57205057982;57225063907;","Analyzing and Securing Information, Images of Women in Online portal using CNN algorithm",2023,"AIP Conference Proceedings","2914","1","050001","","",,,"10.1063/5.0175977","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180634799&doi=10.1063%2f5.0175977&partnerID=40&md5=181170531d50ad69dcf328fc34943698",Conference Paper,"Final","",Scopus,2-s2.0-85180634799
"Sivaranjani, R., Suvitha, A., Garg, M., Arumanayagam, T.","58698748100;57218331018;58698623500;41560983600;","Exploring linear and nonlinear optical behaviour of morpholine p-nitrophenol crystal: Computational and experimental analysis",2023,"Chemical Physics Impact","7",,"100363","","",,,"10.1016/j.chphi.2023.100363","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176941638&doi=10.1016%2fj.chphi.2023.100363&partnerID=40&md5=cf5dc25719a482c5f9cbd0566ac0ea55",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85176941638
"Parthasarathy, P.","57201256821;","Graphene/polypyrrole/carbon black nanocomposite material ink-based screen-printed low-cost, flexible humidity sensor",2023,"Emergent Materials","6","6",,"2053","2060",,,"10.1007/s42247-023-00585-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176140287&doi=10.1007%2fs42247-023-00585-x&partnerID=40&md5=354fadd660bd565b44d2d8483df11dff",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85176140287
"Steephen, A., Saini, K., Suvitha, A., Vivek, P., Arumanayagam, T., Rekha, M., Madhavan, B.","57226829140;57495529600;57218331018;55489394300;41560983600;57210397179;57226826230;","Investigational, computational explorations on betanin, lycopene, cyanidin, and peonidin organic photo sensitizers for green energy harvesting",2023,"Sustainable Energy Technologies and Assessments","60",,"103451","","",,,"10.1016/j.seta.2023.103451","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171780299&doi=10.1016%2fj.seta.2023.103451&partnerID=40&md5=61b089100b1d0805ea8d01168777ec8d",Article,"Final","",Scopus,2-s2.0-85171780299
"Punyasamudram, S., Puthalapattu, R.P., Bathinapatla, A., Kanchi, S., Jyothi, S., Kumar, P.V.N.","57219990092;58164637200;56347385500;36699599700;57032346300;57214055022;","Biosynthesis of ZnFe2O4@Ag hybrid nanocomposites for degradation of 2,4-Dichlorophenoxyacetic acid herbicide",2023,"Chemical Physics Impact","7",,"100282","","",,,"10.1016/j.chphi.2023.100282","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167834401&doi=10.1016%2fj.chphi.2023.100282&partnerID=40&md5=edff48af224684dcac285787956b197e",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85167834401
"Anish, M., Jayaprabakar, J., Bency, P., Joy, N., Jayaprakash, V., Arunkumar, K., Aravind Kumar, J., Praveenkumar, T.R., Ghfar, A.A., Rajasimman, M., Ravindran, B.","56461314200;37070559200;57821790500;57220814245;57822563500;56593341700;35111364500;56951295100;55443562300;16203845600;56295269700;","Impact of reactivity controlled compression ignition (RCCI) mode engine operation in diesel engine powered with B20 blend of waste cooking oil biodiesel",2023,"Scientific Reports","13","1","4798","","",,3,"10.1038/s41598-023-31044-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150912890&doi=10.1038%2fs41598-023-31044-6&partnerID=40&md5=12b655f450c7b575fe25ca4286cee5d6",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85150912890
"Antony Lilly Grace, M., Suvitha, A., Trilaksana, H., Athikesavan, V., Prathap, K., Judith Jayarani, A.","57310494300;57218331018;57194555140;57201798505;57219371205;57190619325;","Temperature-dependent energy storage performance of La2O3-doped(1−x) Bi0.5(Na0.84K0.16)0.5TiO3–xSrTiO3 multifunctional ceramics for piezoelectric sensor applications",2023,"Journal of Materials Research","38","22",,"4902","4912",,,"10.1557/s43578-023-01200-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176578795&doi=10.1557%2fs43578-023-01200-9&partnerID=40&md5=c757db5976b00d0186be718d943e6af7",Article,"Final","",Scopus,2-s2.0-85176578795
"Harisha, C.S., Meenakshi, K.","57214897118;57220355692;","Coloring of Special Types of Hypergraphs",2023,"AIP Conference Proceedings","2587","1","140008","","",,,"10.1063/5.0179593","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179831322&doi=10.1063%2f5.0179593&partnerID=40&md5=fb705465a17c665453fd96f21b73090c",Conference Paper,"Final","",Scopus,2-s2.0-85179831322
"Doust Mohammadi, M., Abdullah, H.Y., Qadir, K.W., Suvitha, A.","57724636400;38360953100;56431023400;57218331018;","Understanding the adsorption behavior of C2H3Cl on pristine, Al-, and Ga-doped boron nitride nanosheets",2023,"Computational and Theoretical Chemistry","1229",,"114318","","",,1,"10.1016/j.comptc.2023.114318","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172300317&doi=10.1016%2fj.comptc.2023.114318&partnerID=40&md5=a8c0bc20dd88f091aad6cf51e79581d0",Article,"Final","",Scopus,2-s2.0-85172300317
"Baligidad, S.M., Abdullah, S., Rajendran, D.K., Thodda, G.","57201502719;58318116500;57192558433;57219384276;","Investigation on fatigue life of HAp and rGO hybrid coating on the PEEK artificial screws for dental implant",2023,"Materials Chemistry and Physics","309",,"128381","","",,1,"10.1016/j.matchemphys.2023.128381","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169895666&doi=10.1016%2fj.matchemphys.2023.128381&partnerID=40&md5=219cce4ad1492940856789cd5d1d13e4",Article,"Final","",Scopus,2-s2.0-85169895666
"Halaki, A., Sarkar, S., Gurugopinath, S., Muralishankar, R.","57215831228;57193695016;55005957900;16234202600;","Norm-based spectrum sensing for cognitive radios under generalised Gaussian noise",2023,"IET Networks","12","6",,"282","294",,,"10.1049/ntw2.12092","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163624506&doi=10.1049%2fntw2.12092&partnerID=40&md5=14b071d118017ec0368def9dbdad28a8",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85163624506
"Jayaprabakar, J., Karthikeyan, A., Vijai Anand, K., Arunkumar, T., Anbazhaghan, N., Rangasamy, G.","37070559200;55902241400;55884347400;56593341700;57217384258;57822830800;","Synthesis and characterization of calcium oxide nano particles obtained from biowaste and its combustion characteristics in a biodiesel operated compression ignition engine",2023,"Fuel","350",,"128839","","",,4,"10.1016/j.fuel.2023.128839","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161089486&doi=10.1016%2fj.fuel.2023.128839&partnerID=40&md5=2f290cae3d80d2836d7085e7e37305d0",Article,"Final","",Scopus,2-s2.0-85161089486
"Trilaksana, H., Darbhe, T., Suvitha, A.R., Gangatharan, R., Nayak, A., Das, P.","57194555140;58047043200;57218331018;58046830600;55216784500;57209519549;","New Quantum Approach on Epilepsy Drug 3'-Aminothymidin Based on Pharmacokinetic, Topological and Molecular Docking Report",2023,"Biointerface Research in Applied Chemistry","13","5","432","","",,,"10.33263/BRIAC135.432","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145930195&doi=10.33263%2fBRIAC135.432&partnerID=40&md5=956db16aa31a435688b4de46fa885e0a",Article,"Final","",Scopus,2-s2.0-85145930195
